,#,team,gp,w,l,win%,min,efg%,"fta
2,3,Dallas Mavericks,82,60,22,.732,3976,49.5,0.364,15.0,34.7,47.5,0.342,15.6,31.0,'05-06
3,4,Phoenix Suns,82,54,28,.659,3991,53.7,0.206,13.5,25.6,49.0,0.274,15.1,31.0,'05-06
4,5,Miami Heat,82,52,30,.634,3951,51.7,0.363,15.6,29.7,47.7,0.340,14.0,27.4,'05-06
5,6,Cleveland Cavaliers,82,50,32,.610,3966,49.2,0.362,15.1,31.3,49.0,0.304,14.4,28.3,'05-06
6,7,Memphis Grizzlies,82,49,33,.598,3971,49.6,0.339,15.7,29.8,46.9,0.315,16.8,31.0,'05-06
7,7,New Jersey Nets,82,49,33,.598,3956,47.8,0.346,14.9,27.4,47.6,0.359,15.7,27.0,'05-06
8,9,Los Angeles Clippers,82,47,35,.573,3961,48.7,0.332,15.4,28.6,47.1,0.328,13.7,28.1,'05-06
9,10,Los Angeles Lakers,82,45,37,.549,3971,49.5,0.329,15.0,31.6,48.6,0.324,15.2,29.9,'05-06
10,11,Denver Nuggets,82,44,38,.537,3986,48.8,0.347,15.4,30.0,49.3,0.309,16.8,31.8,'05-06
11,11,Sacramento Kings,82,44,38,.537,3966,49.2,0.334,15.6,28.9,48.8,0.281,15.6,30.6,'05-06
12,13,Washington Wizards,82,42,40,.512,3966,48.4,0.375,14.8,32.9,50.4,0.343,17.1,32.1,'05-06
13,14,Chicago Bulls,82,41,41,.500,3981,48.7,0.292,15.8,30.3,46.4,0.379,15.8,29.7,'05-06
14,14,Indiana Pacers,82,41,41,.500,3946,48.7,0.344,16.8,30.4,46.4,0.317,14.9,30.1,'05-06
15,14,Utah Jazz,82,41,41,.500,3976,46.7,0.397,17.4,35.6,49.0,0.406,15.7,29.8,'05-06
16,17,Milwaukee Bucks,82,40,42,.488,3971,49.2,0.322,15.7,30.9,50.4,0.350,15.4,28.7,'05-06
17,18,New Orleans/Oklahoma City Hornets,82,38,44,.463,3961,46.4,0.339,14.7,29.7,50.2,0.320,16.0,29.1,'05-06
18,18,Philadelphia 76ers,82,38,44,.463,3981,48.7,0.356,14.9,28.5,50.0,0.315,16.3,32.4,'05-06
19,20,Orlando Magic,82,36,46,.439,3981,49.6,0.369,16.8,33.0,49.0,0.361,14.9,30.9,'05-06
20,21,Seattle SuperSonics,82,35,47,.427,3966,50.4,0.314,15.7,34.0,52.7,0.342,15.5,34.1,'05-06
21,22,Golden State Warriors,82,34,48,.415,3966,47.9,0.323,14.8,29.6,49.2,0.328,16.1,31.4,'05-06
22,22,Houston Rockets,82,34,48,.415,3966,47.1,0.317,16.2,29.1,47.2,0.338,14.9,29.5,'05-06
23,24,Boston Celtics,82,33,49,.402,3976,50.4,0.349,17.6,28.9,49.0,0.380,15.7,30.6,'05-06
24,24,Minnesota Timberwolves,82,33,49,.402,3971,48.0,0.299,16.0,29.6,47.5,0.320,15.4,32.7,'05-06
25,26,Toronto Raptors,82,27,55,.329,3991,50.0,0.315,13.9,28.6,53.0,0.352,15.2,30.3,'05-06
26,27,Atlanta Hawks,82,26,56,.317,3976,48.6,0.340,16.9,33.4,51.3,0.369,16.2,33.3,'05-06
27,27,Charlotte Bobcats,82,26,56,.317,3981,46.4,0.319,14.9,30.5,51.4,0.356,18.7,32.2,'05-06
28,29,New York Knicks,82,23,59,.280,3986,48.1,0.417,19.0,34.2,51.1,0.390,15.1,30.3,'05-06
29,30,Portland Trail Blazers,82,21,61,.256,3946,47.4,0.310,16.5,30.8,50.7,0.305,14.5,34.3,'05-06
0,1,Dallas Mavericks,82,67,15,.817,3951,50.9,0.317,15.2,32.0,47.7,0.355,16.0,28.1,'06-07
1,2,Phoenix Suns,82,61,21,.744,3981,55.1,0.267,14.9,26.2,49.2,0.268,15.5,31.7,'06-07
2,3,San Antonio Spurs,82,58,24,.707,3956,52.1,0.313,15.3,27.9,47.1,0.272,15.8,28.5,'06-07
3,4,Detroit Pistons,82,53,29,.646,3976,48.8,0.307,13.7,30.7,47.7,0.317,16.4,32.2,'06-07
4,5,Houston Rockets,82,52,30,.634,3971,49.9,0.292,15.3,28.7,46.6,0.308,15.4,27.5,'06-07
5,6,Utah Jazz,82,51,31,.622,3961,50.2,0.380,16.7,35.2,49.6,0.409,16.1,27.9,'06-07
6,7,Cleveland Cavaliers,82,50,32,.610,3976,48.4,0.320,15.5,32.7,48.0,0.331,16.6,27.9,'06-07
7,8,Chicago Bulls,82,49,33,.598,3956,49.3,0.313,16.8,31.9,47.3,0.346,18.4,29.3,'06-07
8,9,Toronto Raptors,82,47,35,.573,3951,50.4,0.303,14.3,25.0,50.3,0.290,16.1,28.9,'06-07
9,10,Denver Nuggets,82,45,37,.549,3956,50.1,0.360,16.7,32.2,49.9,0.274,16.6,32.2,'06-07
10,11,Miami Heat,82,44,38,.537,3971,50.6,0.321,16.0,27.9,48.5,0.313,15.8,30.7,'06-07
11,12,Golden State Warriors,82,42,40,.512,3951,51.2,0.300,15.9,28.5,50.6,0.352,18.5,33.8,'06-07
12,12,Los Angeles Lakers,82,42,40,.512,4006,51.1,0.333,16.1,30.0,50.0,0.345,15.3,31.0,'06-07
13,14,New Jersey Nets,82,41,41,.500,3976,50.4,0.338,15.8,27.5,49.0,0.349,15.5,28.6,'06-07
14,14,Washington Wizards,82,41,41,.500,3966,49.1,0.356,14.4,31.2,51.7,0.320,16.4,32.2,'06-07
15,16,Los Angeles Clippers,82,40,42,.488,3946,48.1,0.355,16.4,30.7,48.8,0.333,15.0,28.8,'06-07
16,16,Orlando Magic,82,40,42,.488,3956,50.0,0.393,18.6,33.3,48.0,0.376,16.5,30.3,'06-07
17,18,New Orleans/Oklahoma City Hornets,82,39,43,.476,3976,47.9,0.291,15.7,31.8,49.9,0.280,14.8,28.1,'06-07
18,19,Indiana Pacers,82,35,47,.427,3956,47.4,0.324,17.3,32.1,49.1,0.360,16.7,30.6,'06-07
19,19,Philadelphia 76ers,82,35,47,.427,3976,48.0,0.333,16.5,30.6,50.1,0.293,16.8,32.2,'06-07
20,21,Charlotte Bobcats,82,33,49,.402,4001,48.0,0.322,15.8,29.9,50.0,0.373,16.7,31.8,'06-07
21,21,New York Knicks,82,33,49,.402,4001,49.4,0.377,18.3,33.7,50.4,0.325,14.7,28.6,'06-07
22,21,Sacramento Kings,82,33,49,.402,3961,49.1,0.379,15.1,26.7,51.3,0.317,16.9,30.8,'06-07
23,24,Minnesota Timberwolves,82,32,50,.390,4001,49.0,0.291,16.6,29.2,49.8,0.297,15.1,30.2,'06-07
24,24,Portland Trail Blazers,82,32,50,.390,3991,48.3,0.314,16.6,32.6,50.8,0.343,15.2,30.3,'06-07
25,26,Seattle SuperSonics,82,31,51,.378,3966,49.9,0.288,16.5,31.2,51.5,0.323,16.1,32.4,'06-07
26,27,Atlanta Hawks,82,30,52,.366,3976,47.1,0.346,17.3,32.8,50.3,0.365,16.5,32.4,'06-07
27,28,Milwaukee Bucks,82,28,54,.341,3971,50.4,0.286,16.1,30.6,52.2,0.316,16.6,34.3,'06-07
28,29,Boston Celtics,82,24,58,.293,3971,47.9,0.337,17.6,30.9,50.2,0.375,16.3,29.5,'06-07
29,30,Memphis Grizzlies,82,22,60,.268,3996,50.4,0.374,17.0,29.1,52.9,0.313,15.9,31.8,'06-07
0,1,Boston Celtics,82,66,16,.805,3951,52.2,0.346,16.4,30.6,45.7,0.341,17.3,29.3,'07-08
1,2,Detroit Pistons,82,59,23,.720,3946,49.5,0.300,13.1,32.7,47.0,0.328,15.2,30.0,'07-08
2,3,Los Angeles Lakers,82,57,25,.695,3956,52.5,0.333,14.5,29.7,48.5,0.284,14.7,29.8,'07-08
3,4,New Orleans Hornets,82,56,26,.683,3961,51.2,0.251,13.0,30.0,50.1,0.239,15.1,28.3,'07-08
4,4,San Antonio Spurs,82,56,26,.683,3946,50.4,0.276,14.0,26.8,47.7,0.266,14.3,26.7,'07-08
5,6,Houston Rockets,82,55,27,.671,3946,49.2,0.276,15.0,32.3,46.5,0.290,14.6,28.9,'07-08
6,6,Phoenix Suns,82,55,27,.671,3956,55.1,0.292,14.7,25.3,48.8,0.254,13.7,32.6,'07-08
7,8,Utah Jazz,82,54,28,.659,3941,52.8,0.349,15.4,32.7,50.1,0.393,16.8,29.0,'07-08
8,9,Orlando Magic,82,52,30,.634,3956,53.7,0.355,15.1,27.4,48.4,0.288,14.0,29.1,'07-08
9,10,Dallas Mavericks,82,51,31,.622,3946,50.2,0.318,13.8,30.0,47.4,0.331,13.3,28.4,'07-08
10,11,Denver Nuggets,82,50,32,.610,3971,51.0,0.358,14.4,29.2,49.9,0.278,16.2,31.4,'07-08
11,12,Golden State Warriors,82,48,34,.585,3956,51.1,0.276,13.1,30.1,50.9,0.340,16.8,32.8,'07-08
12,13,Cleveland Cavaliers,82,45,37,.549,3971,48.0,0.308,15.2,33.4,49.4,0.320,14.5,28.5,'07-08
13,14,Washington Wizards,82,43,39,.524,3981,48.9,0.297,14.4,32.0,51.3,0.288,15.2,30.5,'07-08
14,15,Portland Trail Blazers,82,41,41,.500,3981,48.9,0.281,14.3,30.3,49.1,0.276,13.9,31.6,'07-08
15,15,Toronto Raptors,82,41,41,.500,3966,51.1,0.247,12.7,26.9,50.5,0.264,15.2,29.1,'07-08
16,17,Philadelphia 76ers,82,40,42,.488,3951,48.2,0.321,15.6,35.1,50.4,0.265,17.1,31.2,'07-08
17,18,Sacramento Kings,82,38,44,.463,3966,50.3,0.346,16.6,29.0,51.0,0.340,15.8,31.1,'07-08
18,19,Atlanta Hawks,82,37,45,.451,3971,48.3,0.340,16.0,32.9,50.1,0.289,14.7,31.8,'07-08
19,20,Indiana Pacers,82,36,46,.439,3951,49.8,0.292,15.2,27.8,49.8,0.358,16.0,29.9,'07-08
20,21,New Jersey Nets,82,34,48,.415,3966,48.1,0.347,16.0,30.0,49.7,0.353,14.3,29.4,'07-08
21,22,Chicago Bulls,82,33,49,.402,3961,47.0,0.296,15.4,32.5,49.6,0.337,16.1,31.3,'07-08
22,23,Charlotte Bobcats,82,32,50,.390,3976,49.2,0.323,15.7,29.4,50.5,0.314,15.3,32.6,'07-08
23,24,Milwaukee Bucks,82,26,56,.317,3971,48.2,0.294,15.8,33.2,52.4,0.326,14.7,30.6,'07-08
24,25,Los Angeles Clippers,82,23,59,.280,3961,46.5,0.338,15.3,26.7,50.3,0.314,14.4,29.7,'07-08
25,25,New York Knicks,82,23,59,.280,3976,47.5,0.310,15.5,32.1,51.8,0.310,13.6,30.3,'07-08
26,27,Memphis Grizzlies,82,22,60,.268,3961,50.0,0.311,15.7,27.7,52.1,0.253,13.8,29.4,'07-08
27,27,Minnesota Timberwolves,82,22,60,.268,3946,48.4,0.248,15.6,31.4,51.3,0.350,14.5,29.7,'07-08
28,29,Seattle SuperSonics,82,20,62,.244,3966,46.7,0.265,16.3,30.5,50.3,0.287,13.4,30.0,'07-08
29,30,Miami Heat,82,15,67,.183,3966,48.2,0.300,15.9,26.4,51.0,0.325,15.5,31.9,'07-08
0,1,Cleveland Cavaliers,82,66,16,.805,3956,51.9,0.312,14.1,30.6,46.8,0.294,15.4,29.3,'08-09
1,2,Los Angeles Lakers,82,65,17,.793,3956,51.3,0.299,14.0,32.6,49.0,0.283,16.2,30.2,'08-09
2,3,Boston Celtics,82,62,20,.756,3976,52.8,0.328,16.9,31.4,47.0,0.329,15.8,28.5,'08-09
3,4,Orlando Magic,82,59,23,.720,3946,52.0,0.351,14.9,27.3,46.5,0.277,14.0,28.3,'08-09
4,5,Denver Nuggets,82,54,28,.659,3946,51.2,0.382,16.0,31.1,48.5,0.331,16.1,31.7,'08-09
5,5,Portland Trail Blazers,82,54,28,.659,3966,51.1,0.306,14.5,35.5,49.9,0.282,14.9,29.2,'08-09
6,5,San Antonio Spurs,82,54,28,.659,3981,51.3,0.251,13.0,25.8,48.7,0.249,13.0,26.0,'08-09
7,8,Houston Rockets,82,53,29,.646,3961,50.1,0.292,15.4,30.8,47.9,0.257,13.5,28.6,'08-09
8,9,Dallas Mavericks,82,50,32,.610,3961,50.4,0.274,13.6,29.7,49.3,0.282,13.9,29.3,'08-09
9,10,New Orleans Hornets,82,49,33,.598,3951,50.1,0.288,14.1,28.2,49.6,0.297,14.9,29.3,'08-09
10,11,Utah Jazz,82,48,34,.585,3976,50.4,0.355,15.5,31.6,50.5,0.343,16.9,30.7,'08-09
11,12,Atlanta Hawks,82,47,35,.573,3941,50.4,0.323,14.1,29.5,49.4,0.272,15.1,31.8,'08-09
12,13,Phoenix Suns,82,46,36,.561,3951,54.5,0.336,16.1,30.8,51.1,0.300,14.6,31.8,'08-09
13,14,Miami Heat,82,43,39,.524,3991,50.0,0.282,13.6,28.2,50.1,0.325,16.5,30.7,'08-09
14,15,Chicago Bulls,82,41,41,.500,3986,49.3,0.300,15.3,32.1,49.3,0.303,15.1,32.5,'08-09
15,15,Philadelphia 76ers,82,41,41,.500,3951,48.5,0.339,15.4,34.2,50.7,0.276,17.0,32.0,'08-09
16,17,Detroit Pistons,82,39,43,.476,3981,48.3,0.282,13.3,31.1,48.5,0.320,13.2,28.9,'08-09
17,18,Indiana Pacers,82,36,46,.439,3966,50.1,0.267,14.8,29.1,49.9,0.354,14.3,29.3,'08-09
18,19,Charlotte Bobcats,82,35,47,.427,3986,49.4,0.312,17.3,32.1,49.8,0.304,16.3,31.4,'08-09
19,20,Milwaukee Bucks,82,34,48,.415,3956,48.3,0.306,14.9,31.0,50.3,0.398,17.4,30.1,'08-09
20,20,New Jersey Nets,82,34,48,.415,3966,49.7,0.303,14.3,28.8,50.9,0.357,14.7,29.7,'08-09
21,22,Toronto Raptors,82,33,49,.402,3961,49.4,0.279,14.3,27.6,51.1,0.258,14.2,29.4,'08-09
22,23,New York Knicks,82,32,50,.390,3961,50.3,0.268,14.6,27.7,52.0,0.284,14.7,30.4,'08-09
23,24,Golden State Warriors,82,29,53,.354,3976,49.7,0.339,14.6,29.3,50.8,0.323,14.9,34.8,'08-09
24,25,Memphis Grizzlies,82,24,58,.293,3961,48.6,0.329,16.6,29.7,51.5,0.320,15.9,30.3,'08-09
25,25,Minnesota Timberwolves,82,24,58,.293,3961,48.1,0.289,15.2,32.1,51.5,0.327,13.4,28.3,'08-09
26,27,Oklahoma City Thunder,82,23,59,.280,3961,47.1,0.308,17.0,30.9,51.4,0.284,14.5,28.4,'08-09
27,28,Los Angeles Clippers,82,19,63,.232,3976,48.1,0.275,15.8,28.7,51.2,0.299,14.1,32.1,'08-09
28,28,Washington Wizards,82,19,63,.232,3941,48.0,0.293,15.1,31.3,53.3,0.298,15.1,31.1,'08-09
29,30,Sacramento Kings,82,17,65,.207,3981,49.1,0.315,16.0,28.9,52.6,0.355,14.9,33.1,'08-09
0,1,Cleveland Cavaliers,82,61,21,.744,3956,53.2,0.341,15.0,29.3,48.2,0.288,13.8,27.5,'09-10
1,2,Orlando Magic,82,59,23,.720,3946,53.6,0.340,15.2,28.0,47.7,0.272,13.8,27.4,'09-10
2,3,Los Angeles Lakers,82,57,25,.695,3966,49.6,0.289,14.1,31.4,48.4,0.260,15.0,29.2,'09-10
3,4,Dallas Mavericks,82,55,27,.671,3976,50.6,0.277,13.7,27.9,49.5,0.272,15.4,30.3,'09-10
4,5,Phoenix Suns,82,54,28,.659,3946,54.6,0.312,15.2,31.1,49.1,0.295,13.5,32.7,'09-10
5,6,Atlanta Hawks,82,53,29,.646,3971,50.6,0.281,13.0,32.0,49.6,0.280,15.1,31.5,'09-10
6,6,Denver Nuggets,82,53,29,.646,3956,50.9,0.376,14.4,30.4,49.5,0.326,15.7,31.3,'09-10
7,6,Utah Jazz,82,53,29,.646,3951,52.4,0.340,16.0,31.3,49.2,0.353,15.9,28.2,'09-10
8,9,Boston Celtics,82,50,32,.610,3956,52.2,0.332,16.0,27.4,48.7,0.337,16.9,30.3,'09-10
9,9,Oklahoma City Thunder,82,50,32,.610,3961,49.4,0.333,15.8,32.0,48.3,0.300,15.9,30.6,'09-10
10,9,Portland Trail Blazers,82,50,32,.610,3971,49.9,0.315,13.8,32.0,50.2,0.294,15.1,29.8,'09-10
11,9,San Antonio Spurs,82,50,32,.610,3956,51.5,0.296,14.7,30.3,48.3,0.283,13.6,28.0,'09-10
12,13,Miami Heat,82,47,35,.573,3976,49.6,0.296,14.4,29.4,48.0,0.326,15.8,29.9,'09-10
13,14,Milwaukee Bucks,82,46,36,.561,3996,48.2,0.239,14.1,29.8,48.6,0.348,16.2,27.4,'09-10
14,15,Charlotte Bobcats,82,44,38,.537,3976,49.0,0.346,17.2,31.5,49.1,0.262,16.7,30.2,'09-10
15,16,Houston Rockets,82,42,40,.512,3981,49.4,0.292,15.1,30.9,51.1,0.281,15.3,30.1,'09-10
16,17,Chicago Bulls,82,41,41,.500,3981,47.7,0.287,15.1,30.3,48.4,0.284,14.0,29.1,'09-10
17,18,Memphis Grizzlies,82,40,42,.488,3981,49.4,0.320,16.0,35.5,52.0,0.271,14.9,30.2,'09-10
18,18,Toronto Raptors,82,40,42,.488,3956,52.1,0.319,14.2,28.8,51.3,0.314,13.4,30.8,'09-10
19,20,New Orleans Hornets,82,37,45,.451,3966,50.6,0.243,14.3,28.2,52.3,0.274,15.2,30.4,'09-10
20,21,Indiana Pacers,82,32,50,.390,3941,49.1,0.296,15.4,25.5,49.0,0.341,15.3,31.0,'09-10
21,22,Los Angeles Clippers,82,29,53,.354,3941,49.1,0.283,16.8,30.5,50.9,0.281,13.8,30.3,'09-10
22,22,New York Knicks,82,29,53,.354,3976,50.9,0.256,14.6,26.8,52.6,0.275,15.0,30.9,'09-10
23,24,Detroit Pistons,82,27,55,.329,3956,47.4,0.303,14.9,34.6,52.6,0.344,15.9,30.3,'09-10
24,24,Philadelphia 76ers,82,27,55,.329,3961,49.6,0.270,15.6,31.0,51.8,0.302,15.5,30.7,'09-10
25,26,Golden State Warriors,82,26,56,.317,3946,51.4,0.294,14.4,25.4,52.5,0.340,17.3,34.1,'09-10
26,26,Washington Wizards,82,26,56,.317,3966,48.1,0.283,15.9,31.7,50.2,0.313,14.6,30.9,'09-10
27,28,Sacramento Kings,82,25,57,.305,3976,49.1,0.286,15.6,31.5,50.5,0.315,14.3,30.0,'09-10
28,29,Minnesota Timberwolves,82,15,67,.183,3956,47.8,0.278,16.7,30.8,52.5,0.285,14.6,29.5,'09-10
29,30,New Jersey Nets,82,12,70,.146,3956,45.8,0.307,15.5,28.5,51.7,0.307,15.0,31.4,'09-10
0,1,Chicago Bulls,82,62,20,.756,3966,50.1,0.305,15.4,33.2,46.3,0.291,15.4,28.3,'10-11
1,2,San Antonio Spurs,82,61,21,.744,3956,52.7,0.299,14.3,27.6,49.1,0.248,14.2,28.9,'10-11
2,3,Miami Heat,82,58,24,.707,3956,52.4,0.363,15.1,28.7,47.5,0.299,14.3,28.5,'10-11
3,4,Dallas Mavericks,82,57,25,.695,3941,52.5,0.286,15.1,27.8,48.8,0.275,14.7,28.7,'10-11
4,4,Los Angeles Lakers,82,57,25,.695,3966,50.2,0.293,14.1,32.5,47.7,0.236,14.7,30.8,'10-11
5,6,Boston Celtics,82,56,26,.683,3956,51.9,0.305,15.9,25.7,46.9,0.310,16.9,29.1,'10-11
6,7,Oklahoma City Thunder,82,55,27,.671,4001,50.1,0.363,14.8,30.6,49.3,0.307,14.7,30.3,'10-11
7,8,Orlando Magic,82,52,30,.634,3966,52.1,0.328,16.2,30.4,47.5,0.295,15.0,27.7,'10-11
8,9,Denver Nuggets,82,50,32,.610,3941,52.6,0.367,14.7,28.3,50.0,0.296,14.3,28.4,'10-11
9,10,Portland Trail Blazers,82,48,34,.585,3961,48.6,0.278,14.5,33.1,51.0,0.301,17.5,31.8,'10-11
10,11,Memphis Grizzlies,82,46,36,.561,3976,49.3,0.291,15.0,33.3,50.2,0.300,17.9,31.8,'10-11
11,11,New Orleans Hornets,82,46,36,.561,3966,49.3,0.296,14.5,28.9,50.1,0.286,16.1,27.9,'10-11
12,13,Atlanta Hawks,82,44,38,.537,3946,50.1,0.269,15.1,27.4,49.5,0.273,13.8,29.0,'10-11
13,14,Houston Rockets,82,43,39,.524,3976,50.3,0.299,14.1,31.5,50.0,0.280,14.3,31.0,'10-11
14,15,New York Knicks,82,42,40,.512,3956,51.3,0.304,14.1,27.3,51.1,0.315,15.7,32.4,'10-11
15,16,Philadelphia 76ers,82,41,41,.500,3986,49.4,0.273,13.8,27.8,48.7,0.299,15.2,28.6,'10-11
16,17,Phoenix Suns,82,40,42,.488,4001,52.2,0.283,14.7,27.5,51.3,0.280,15.0,31.9,'10-11
17,18,Utah Jazz,82,39,43,.476,3976,49.8,0.313,15.4,31.4,50.5,0.354,15.7,32.1,'10-11
18,19,Indiana Pacers,82,37,45,.451,3956,48.6,0.300,16.0,29.7,48.7,0.315,14.5,29.7,'10-11
19,20,Golden State Warriors,82,36,46,.439,3966,51.0,0.241,15.1,30.0,50.9,0.333,16.7,34.1,'10-11
20,21,Milwaukee Bucks,82,35,47,.427,3966,46.7,0.287,14.8,28.7,48.1,0.307,16.6,29.0,'10-11
21,22,Charlotte Bobcats,82,34,48,.415,3961,48.2,0.314,16.0,29.8,50.0,0.294,14.5,29.5,'10-11
22,23,Los Angeles Clippers,82,32,50,.390,3971,49.6,0.332,17.4,33.0,49.9,0.324,14.6,30.8,'10-11
23,24,Detroit Pistons,82,30,52,.366,3976,49.5,0.279,14.4,31.7,52.6,0.306,15.6,31.9,'10-11
24,25,New Jersey Nets,82,24,58,.293,4001,47.4,0.283,15.2,30.4,50.3,0.320,13.4,30.0,'10-11
25,25,Sacramento Kings,82,24,58,.293,3971,48.0,0.284,16.7,33.4,51.3,0.305,15.2,29.8,'10-11
26,27,Washington Wizards,82,23,59,.280,3986,47.1,0.290,16.0,31.7,51.2,0.327,16.4,32.9,'10-11
27,28,Toronto Raptors,82,22,60,.268,3956,49.1,0.293,15.6,31.4,52.2,0.326,14.8,31.5,'10-11
28,29,Cleveland Cavaliers,82,19,63,.232,3951,47.2,0.312,15.1,28.3,52.4,0.278,14.4,30.1,'10-11
29,30,Minnesota Timberwolves,82,17,65,.207,3956,48.3,0.282,17.4,33.6,51.4,0.323,14.7,30.2,'10-11
