,player,team,age,height,weight,college,country,draft year,draft round,draft number,gp,pts,reb,ast,netrtg,oreb%,dreb%,usg%,ts%,ast%,season
125,Devonte' Graham,NOP,27,185.42,195.0,Kansas,USA,2018,2,34,53.0,5.3,1.4,2.2,1.3,1.4,7.8,14.5,54.5,19.9,'22-23
126,Dewayne Dedmon,SAS,33,208.28,245.0,Southern California,USA,Undrafted,Undrafted,Undrafted,30.0,5.7,3.6,0.5,-10.4,7.3,22.9,20.1,57.6,8.3,'22-23
127,Dillon Brooks,MEM,27,198.12,225.0,Oregon,Canada,2017,2,45,49.0,15.1,3.3,2.7,7.0,1.8,8.3,22.4,48.3,11.9,'22-23
128,Domantas Sabonis,SAC,26,215.9,240.0,Gonzaga,Lithuania,2016,1,11,52.0,18.7,12.2,7.0,5.4,8.9,28.1,21.0,66.7,29.0,'22-23
129,Dominick Barlow,SAS,19,205.74,215.0,None,USA,Undrafted,Undrafted,Undrafted,6.0,3.0,1.2,0.7,-1.7,7.5,10.5,17.2,61.5,16.7,'22-23
130,Donovan Mitchell,CLE,26,185.42,215.0,Louisville,USA,2017,1,13,46.0,26.8,3.9,4.9,5.6,2.6,8.9,30.3,61.0,23.0,'22-23
131,Donte DiVincenzo,GSW,26,193.04,203.0,Villanova,USA,2018,1,17,45.0,8.8,4.4,3.3,2.0,3.6,13.5,14.4,58.8,17.6,'22-23
132,Dorian Finney-Smith,BKN,29,200.66,220.0,Florida,USA,Undrafted,Undrafted,Undrafted,40.0,9.1,4.7,1.5,0.4,5.2,10.3,12.6,55.7,6.5,'22-23
133,Doug McDermott,SAS,31,198.12,225.0,Creighton,USA,2014,1,11,49.0,9.9,2.2,1.5,-8.8,1.3,9.3,18.1,59.1,9.9,'22-23
134,Draymond Green,GSW,32,198.12,230.0,Michigan State,USA,2012,2,35,49.0,8.0,7.5,6.8,5.0,2.7,19.3,12.3,58.2,26.5,'22-23
135,Drew Eubanks,POR,26,208.28,245.0,Oregon State,USA,Undrafted,Undrafted,Undrafted,53.0,5.9,4.7,1.1,0.1,8.2,16.8,11.0,70.9,8.1,'22-23
136,Dru Smith,BKN,25,190.5,203.0,Missouri,USA,Undrafted,Undrafted,Undrafted,7.0,2.6,2.1,1.3,-13.5,1.1,14.6,10.5,45.0,13.6,'22-23
137,Duane Washington Jr.,PHX,22,187.96,197.0,Ohio State,Germany,Undrafted,Undrafted,Undrafted,31.0,7.9,1.2,2.0,-0.5,0.4,8.5,29.8,45.8,26.0,'22-23
138,Duncan Robinson,MIA,28,200.66,215.0,Michigan,USA,Undrafted,Undrafted,Undrafted,28.0,6.9,1.9,1.2,-2.2,1.4,9.9,17.2,52.8,9.9,'22-23
139,Dwight Powell,DAL,31,208.28,240.0,Stanford,Canada,2014,2,45,51.0,6.8,4.3,0.8,7.0,10.9,11.6,12.2,73.4,5.7,'22-23
140,Dyson Daniels,NOP,19,200.66,199.0,None,Australia,2022,1,8,39.0,4.5,3.5,2.5,0.2,3.6,13.6,11.2,52.5,16.1,'22-23
141,Edmond Sumner,BKN,27,193.04,196.0,Xavier,USA,2017,2,52,46.0,7.4,1.6,1.4,2.5,1.8,8.6,20.9,59.4,13.8,'22-23
142,Eric Gordon,HOU,34,190.5,215.0,Indiana,USA,2008,1,7,47.0,13.1,2.1,2.9,-7.7,0.8,5.8,17.5,57.2,13.8,'22-23
143,Eugene Omoruyi,OKC,25,198.12,235.0,Oregon,Nigeria,Undrafted,Undrafted,Undrafted,21.0,5.0,2.3,0.5,0.9,8.0,10.9,18.7,53.5,6.3,'22-23
144,Evan Fournier,NYK,30,198.12,205.0,None,France,2012,1,20,22.0,7.1,2.0,1.6,1.2,0.9,9.4,17.9,49.3,11.9,'22-23
145,Evan Mobley,CLE,21,210.82,215.0,Southern California,USA,2021,1,3,55.0,15.4,8.9,2.7,5.1,7.5,19.7,19.6,58.9,12.2,'22-23
146,Facundo Campazzo,DAL,31,177.8,195.0,None,Argentina,Undrafted,Undrafted,Undrafted,8.0,1.3,0.3,1.1,11.0,0.0,4.1,14.4,36.0,30.0,'22-23
147,Frank Kaminsky,ATL,29,213.36,240.0,Wisconsin,USA,2015,1,9,26.0,2.7,1.4,0.8,-1.2,1.6,20.4,14.4,72.0,17.2,'22-23
148,Frank Ntilikina,DAL,24,193.04,200.0,None,France,2017,1,8,33.0,2.5,1.3,1.2,-0.1,1.3,9.6,13.3,43.8,14.3,'22-23
149,Franz Wagner,ORL,21,208.28,220.0,Michigan,Germany,2021,1,8,54.0,19.4,4.1,3.4,1.1,3.0,9.2,23.6,59.1,16.4,'22-23
150,Fred VanVleet,TOR,28,182.88,197.0,Wichita State,USA,Undrafted,Undrafted,Undrafted,47.0,19.6,4.4,6.5,1.3,1.3,11.7,22.4,54.1,25.9,'22-23
151,Furkan Korkmaz,PHI,25,200.66,202.0,None,Turkey,2016,1,26,25.0,3.8,1.2,0.7,-4.0,2.3,8.9,17.1,52.3,10.4,'22-23
152,Gabe Vincent,MIA,26,187.96,200.0,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,41.0,9.5,2.3,2.6,2.5,1.5,7.6,17.6,52.8,15.0,'22-23
153,Garrett Temple,NOP,36,198.12,195.0,Louisiana State,USA,Undrafted,Undrafted,Undrafted,17.0,2.5,0.6,0.6,-6.8,1.5,6.6,12.6,57.1,12.0,'22-23
154,Garrison Mathews,HOU,26,198.12,215.0,Lipscomb,USA,Undrafted,Undrafted,Undrafted,45.0,4.8,1.4,0.5,-6.9,1.5,7.7,13.5,56.4,5.7,'22-23
155,Gary Harris,ORL,28,193.04,210.0,Michigan State,USA,2014,1,19,27.0,8.9,2.1,1.1,-2.5,2.0,7.1,13.0,66.3,6.4,'22-23
156,Gary Payton II,POR,30,187.96,195.0,Oregon State,USA,Undrafted,Undrafted,Undrafted,15.0,4.1,2.6,1.5,4.6,4.5,11.8,9.5,71.3,11.1,'22-23
157,Gary Trent Jr.,TOR,24,195.58,209.0,Duke,USA,2018,2,37,49.0,18.6,2.5,1.6,-1.5,1.0,6.8,20.9,57.4,7.1,'22-23
158,George Hill,MIL,36,193.04,188.0,Indiana-Purdue Indianapolis,USA,2008,1,26,35.0,5.0,1.9,2.5,0.2,1.8,7.4,11.0,57.5,18.6,'22-23
159,Georges Niang,PHI,29,200.66,230.0,Iowa State,USA,2016,2,50,51.0,9.0,2.5,1.2,5.2,1.4,10.7,17.1,62.0,8.7,'22-23
160,Giannis Antetokounmpo,MIL,28,213.36,243.0,None,Greece,2013,1,15,43.0,32.2,12.4,5.3,5.6,6.8,26.6,37.6,59.7,29.9,'22-23
161,Goga Bitadze,IND,23,210.82,250.0,None,Georgia,2019,1,18,21.0,3.3,2.3,0.9,4.7,11.2,12.6,14.6,55.1,12.5,'22-23
162,Goran Dragic,CHI,36,193.04,190.0,None,Slovenia,2008,2,45,48.0,6.6,1.4,2.9,2.0,1.7,7.2,19.7,51.4,24.4,'22-23
163,Gordon Hayward,CHA,32,200.66,225.0,Butler,USA,2010,1,9,30.0,13.4,4.3,3.4,-4.3,2.3,11.1,18.7,53.8,15.8,'22-23
164,Gorgui Dieng,SAS,33,208.28,248.0,Louisville,Senegal,2013,1,21,17.0,3.4,2.8,1.6,-12.5,8.6,21.5,17.6,51.1,23.1,'22-23
165,Grant Williams,BOS,24,198.12,236.0,Tennessee,USA,2019,1,22,54.0,8.7,4.7,1.7,4.8,3.9,13.1,12.4,63.2,8.2,'22-23
166,Grayson Allen,MIL,27,193.04,198.0,Duke,USA,2018,1,21,50.0,10.5,3.5,2.5,3.7,3.1,8.7,14.1,61.9,12.2,'22-23
167,Greg Brown III,POR,21,200.66,206.0,Texas,USA,2021,2,43,16.0,1.8,1.2,0.2,-3.4,1.9,17.5,17.0,42.1,5.5,'22-23
168,Hamidou Diallo,DET,24,195.58,202.0,Kentucky,USA,2018,2,45,47.0,8.3,3.4,1.0,-0.1,5.8,14.1,19.9,59.5,8.9,'22-23
169,Harrison Barnes,SAC,30,203.2,225.0,North Carolina,USA,2012,1,7,54.0,15.1,4.7,1.6,4.1,3.1,11.6,17.1,63.8,6.7,'22-23
170,Haywood Highsmith,MIA,26,195.58,220.0,Wheeling Jesuit,USA,2018,,,39.0,4.8,3.9,0.7,-4.2,5.2,13.8,11.9,51.4,5.4,'22-23
171,Herbert Jones,NOP,24,200.66,206.0,Alabama,USA,2021,2,35,40.0,9.7,3.9,2.2,2.1,4.7,8.6,15.1,53.5,9.6,'22-23
172,Immanuel Quickley,NYK,23,187.96,190.0,Kentucky,USA,2020,1,25,55.0,12.6,4.1,3.2,5.0,2.1,11.0,18.5,55.5,17.1,'22-23
173,Isaac Okoro,CLE,22,195.58,225.0,Auburn,USA,2020,1,5,57.0,6.4,2.6,1.2,5.4,3.5,9.4,12.2,61.5,7.6,'22-23
174,Isaiah Hartenstein,NYK,24,213.36,250.0,None,Germany,2017,2,43,56.0,5.1,6.4,0.9,1.8,13.2,17.5,11.6,55.0,6.2,'22-23
175,Isaiah Jackson,IND,21,205.74,205.0,Kentucky,USA,2021,1,22,41.0,6.7,3.9,0.9,-4.5,8.6,15.8,16.9,59.5,8.8,'22-23
176,Isaiah Joe,OKC,23,190.5,165.0,Arkansas,USA,2020,2,49,46.0,8.1,2.2,1.0,11.6,2.2,11.5,16.7,66.8,9.2,'22-23
177,Isaiah Livers,DET,24,198.12,232.0,Michigan,USA,2021,2,42,34.0,5.6,2.2,0.6,-10.9,2.4,8.6,11.3,56.8,4.1,'22-23
178,Isaiah Mobley,CLE,23,203.2,238.0,Southern California,USA,2022,2,49,8.0,1.1,1.4,0.0,49.3,5.0,27.8,14.3,56.3,0.0,'22-23
179,Isaiah Roby,SAS,25,203.2,230.0,Nebraska,USA,2019,2,45,39.0,4.2,2.5,0.9,-9.1,3.8,19.9,17.6,52.0,12.0,'22-23
180,Isaiah Stewart,DET,21,203.2,250.0,Washington,USA,2020,1,16,45.0,11.3,8.1,1.4,-8.9,7.9,20.5,17.2,54.9,7.1,'22-23
181,Isaiah Todd,WAS,21,205.74,219.0,None,USA,2021,2,31,4.0,0.5,0.0,0.0,-14.8,0.0,0.0,13.3,25.0,0.0,'22-23
182,Ish Smith,DEN,34,182.88,175.0,Wake Forest,USA,Undrafted,Undrafted,Undrafted,26.0,2.8,1.1,1.9,-4.3,1.3,10.0,18.7,46.9,30.4,'22-23
183,Ish Wainright,PHX,28,195.58,250.0,Baylor,USA,Undrafted,Undrafted,Undrafted,38.0,3.9,2.2,1.0,8.5,5.5,8.2,11.7,51.4,8.9,'22-23
184,Ivica Zubac,LAC,25,213.36,240.0,None,Croatia,2016,2,32,56.0,10.2,10.3,1.0,-2.3,12.1,23.6,14.4,64.9,4.9,'22-23
185,JD Davison,BOS,20,185.42,195.0,Alabama,USA,2022,2,53,5.0,0.4,0.4,0.2,-32.2,0.0,15.4,23.1,20.0,14.3,'22-23
186,JT Thor,CHA,20,205.74,203.0,Auburn,USA,2021,2,37,43.0,2.7,1.7,0.4,-7.0,4.4,10.7,12.6,45.6,5.6,'22-23
187,Ja Morant,MEM,23,187.96,174.0,Murray State,USA,2019,1,2,45.0,27.4,5.8,8.3,6.6,3.3,13.2,33.9,56.2,41.8,'22-23
188,JaMychal Green,GSW,32,205.74,227.0,Alabama,USA,Undrafted,Undrafted,Undrafted,35.0,6.4,4.0,0.9,-4.1,9.8,17.0,17.2,62.1,8.3,'22-23
189,JaVale McGee,DAL,35,213.36,270.0,Nevada,USA,2008,1,18,32.0,3.8,2.4,0.3,-16.1,8.3,21.1,21.3,61.8,5.4,'22-23
190,Jabari Smith Jr.,HOU,19,210.82,220.0,Auburn,USA,2022,1,3,52.0,11.8,6.9,1.2,-10.9,3.8,18.4,18.4,50.0,5.6,'22-23
191,Jabari Walker,POR,20,200.66,200.0,Colorado,USA,2022,2,57,35.0,2.4,2.1,0.5,0.0,10.1,14.1,13.4,50.0,7.9,'22-23
192,Jack White,DEN,25,200.66,225.0,Duke,Australia,Undrafted,Undrafted,Undrafted,12.0,1.0,0.6,0.0,-44.5,6.4,11.8,13.5,44.6,0.0,'22-23
193,Jaden Hardy,DAL,20,190.5,198.0,None,USA,2022,2,37,27.0,6.6,1.3,0.7,-8.2,0.7,11.1,26.2,54.9,11.5,'22-23
194,Jaden Ivey,DET,20,193.04,195.0,Purdue,USA,2022,1,5,52.0,15.1,3.9,4.5,-12.8,3.1,10.1,24.0,52.6,23.8,'22-23
195,Jaden McDaniels,MIN,22,205.74,185.0,Washington,USA,2020,1,28,55.0,11.3,3.8,2.1,3.0,4.3,8.0,14.9,60.6,9.0,'22-23
196,Jaden Springer,PHI,20,193.04,202.0,Tennessee,USA,2021,1,28,7.0,2.4,1.0,0.1,-27.6,16.7,10.7,24.6,61.8,8.3,'22-23
197,Jae'Sean Tate,HOU,27,195.58,230.0,Ohio State,USA,Undrafted,Undrafted,Undrafted,17.0,7.8,4.1,2.8,-7.6,7.3,10.6,17.5,50.8,19.4,'22-23
198,Jake LaRavia,MEM,21,200.66,235.0,Wake Forest,USA,2022,1,19,29.0,3.3,2.0,0.7,-6.5,4.0,10.5,11.8,53.4,7.4,'22-23
199,Jakob Poeltl,SAS,27,215.9,245.0,Utah,Austria,2016,1,9,46.0,12.1,9.0,3.1,-10.1,11.9,23.9,18.4,62.5,16.6,'22-23
200,Jalen Brunson,NYK,26,187.96,190.0,Villanova,USA,2018,2,33,52.0,23.2,3.5,6.2,-0.1,1.7,8.1,26.3,58.1,28.8,'22-23
201,Jalen Duren,DET,19,210.82,250.0,Memphis,USA,2022,1,13,48.0,8.4,8.7,1.0,-7.0,12.8,21.6,12.3,66.9,6.2,'22-23
202,Jalen Green,HOU,20,193.04,186.0,None,USA,2021,1,2,51.0,22.0,4.0,3.6,-10.2,1.6,10.0,27.6,53.9,16.9,'22-23
203,Jalen Johnson,ATL,21,203.2,219.0,Duke,USA,2021,1,20,51.0,5.2,3.9,0.9,-2.0,4.4,20.8,14.8,55.0,8.4,'22-23
204,Jalen McDaniels,CHA,25,205.74,205.0,San Diego State,USA,2019,2,52,56.0,10.6,4.8,2.0,-5.1,2.7,14.5,16.9,55.1,10.3,'22-23
205,Jalen Smith,IND,22,205.74,215.0,Maryland,USA,2020,1,10,48.0,9.5,5.7,1.0,-6.8,8.6,20.2,20.8,55.6,7.9,'22-23
206,Jalen Suggs,ORL,21,195.58,205.0,Gonzaga,USA,2021,1,5,30.0,9.0,2.8,3.6,-2.5,3.9,8.2,19.9,51.5,23.1,'22-23
207,Jalen Williams,OKC,21,195.58,211.0,Santa Clara,USA,2022,1,12,50.0,12.0,4.1,2.8,-2.3,2.7,10.8,17.0,57.3,13.2,'22-23
208,Jamal Cain,MIA,23,198.12,191.0,Oakland,USA,Undrafted,Undrafted,Undrafted,13.0,4.9,2.9,0.6,-0.2,6.6,13.6,13.5,58.1,7.3,'22-23
209,Jamal Murray,DEN,25,193.04,215.0,Kentucky,Canada,2016,1,7,45.0,20.2,4.1,5.8,8.0,2.6,10.5,25.8,57.5,24.9,'22-23
210,James Bouknight,CHA,22,193.04,190.0,Connecticut,USA,2021,1,11,26.0,4.3,2.0,1.1,-2.8,1.3,12.0,17.5,42.1,11.2,'22-23
211,James Harden,PHI,33,195.58,220.0,Arizona State,USA,2009,1,3,37.0,21.1,6.3,10.9,5.9,1.6,16.2,24.6,61.8,45.2,'22-23
212,James Johnson,IND,35,200.66,240.0,Wake Forest,USA,2009,1,16,12.0,2.2,1.3,0.6,4.9,1.9,16.7,14.5,45.2,9.9,'22-23
213,James Wiseman,GSW,21,213.36,240.0,Memphis,USA,2020,1,2,21.0,6.9,3.5,0.7,-19.3,7.0,21.8,19.3,65.5,8.6,'22-23
214,Jared Rhoden,DET,23,198.12,210.0,Seton Hall,USA,Undrafted,Undrafted,Undrafted,1.0,2.0,1.0,0.0,3.8,0.0,14.3,10.3,33.3,0.0,'22-23
215,Jaren Jackson Jr.,MEM,23,208.28,242.0,Michigan State,USA,2018,1,4,37.0,16.8,6.6,0.8,11.6,6.1,15.5,22.4,60.8,4.3,'22-23
216,Jarred Vanderbilt,UTA,23,203.2,214.0,Kentucky,USA,2018,2,41,52.0,8.3,7.9,2.7,-1.8,9.7,23.2,14.3,60.7,15.6,'22-23
217,Jarrett Allen,CLE,24,205.74,243.0,Texas,USA,2017,1,22,50.0,14.4,9.9,1.7,7.8,9.9,21.3,16.4,67.0,7.3,'22-23
218,Jarrett Culver,ATL,23,198.12,195.0,Texas Tech,USA,2019,1,6,10.0,4.4,3.8,0.6,-5.7,6.5,21.9,16.4,45.2,5.5,'22-23
219,Jason Preston,LAC,23,190.5,181.0,Ohio,USA,2021,2,33,12.0,3.3,1.8,2.3,-3.0,1.4,18.5,16.7,47.7,34.2,'22-23
220,Javonte Green,CHI,29,195.58,205.0,Radford,USA,Undrafted,Undrafted,Undrafted,28.0,5.9,2.9,0.8,6.9,5.7,11.9,13.2,66.7,6.6,'22-23
221,Jaxson Hayes,NOP,22,213.36,220.0,Texas,USA,2019,1,8,30.0,5.2,3.0,0.8,-7.2,6.1,14.7,14.0,58.7,8.5,'22-23
222,Jaylen Brown,BOS,26,198.12,223.0,California,USA,2016,1,3,48.0,26.5,7.0,3.2,5.1,3.4,15.7,30.9,58.5,15.5,'22-23
223,Jaylen Nowell,MIN,23,193.04,201.0,Washington,USA,2019,2,43,58.0,11.0,2.7,2.1,1.9,2.7,10.5,23.4,52.8,15.7,'22-23
224,Jaylin Williams,OKC,20,205.74,240.0,Arkansas,USA,2022,2,34,22.0,5.1,4.3,1.5,-0.4,5.5,23.7,14.0,57.4,12.4,'22-23
225,Jayson Tatum,BOS,24,203.2,210.0,Duke,USA,2017,1,3,52.0,30.6,8.7,4.5,9.9,3.0,19.3,32.1,60.5,20.0,'22-23
226,Jeff Dowtin Jr.,TOR,25,190.5,177.0,Rhode Island,USA,Undrafted,Undrafted,Undrafted,14.0,2.0,0.9,0.9,1.7,4.7,8.2,12.2,53.2,16.9,'22-23
227,Jeff Green,DEN,36,203.2,235.0,Georgetown,USA,2007,1,5,33.0,7.2,2.5,1.2,-8.3,3.8,9.1,16.5,55.6,9.2,'22-23
228,Jerami Grant,POR,28,203.2,210.0,Syracuse,USA,2014,2,39,53.0,20.7,4.3,2.3,-0.1,2.6,9.9,22.7,60.8,9.9,'22-23
229,Jeremiah Robinson-Earl,OKC,22,203.2,240.0,Villanova,USA,2021,2,32,26.0,8.5,5.0,1.0,-3.2,8.8,13.8,14.9,59.3,6.1,'22-23
230,Jeremy Sochan,SAS,19,203.2,230.0,Baylor,Poland,2022,1,9,45.0,9.9,4.8,2.5,-8.1,6.1,13.2,18.0,51.4,12.6,'22-23
231,Jericho Sims,NYK,24,208.28,250.0,Texas,USA,2021,2,58,43.0,3.8,4.7,0.5,-5.8,12.3,17.5,7.7,81.2,4.7,'22-23
232,Jevon Carter,MIL,27,185.42,200.0,West Virginia,USA,2018,2,32,54.0,7.3,2.6,2.6,2.1,1.9,8.6,13.9,54.8,15.7,'22-23
233,Jimmy Butler,MIA,33,200.66,230.0,Marquette,USA,2011,1,30,40.0,22.0,6.0,5.0,2.0,6.4,12.3,24.3,62.0,23.9,'22-23
234,Jock Landale,PHX,27,210.82,255.0,St. Mary's,Australia,Undrafted,Undrafted,Undrafted,47.0,6.9,4.0,0.9,7.9,11.1,16.5,18.8,60.3,9.6,'22-23
235,Joe Harris,BKN,31,198.12,220.0,Virginia,USA,2014,2,33,47.0,8.3,2.7,1.6,0.6,1.6,9.2,13.6,59.4,8.9,'22-23
236,Joe Ingles,MIL,35,205.74,220.0,None,Australia,Undrafted,Undrafted,Undrafted,22.0,6.3,2.4,3.2,2.5,1.4,8.6,12.5,55.7,18.6,'22-23
237,Joe Wieskamp,TOR,23,198.12,205.0,Iowa,USA,2021,2,41,2.0,4.5,0.0,0.5,2.0,0.0,0.0,13.6,90.0,7.7,'22-23
238,Joel Embiid,PHI,28,213.36,280.0,Kansas,Cameroon,2014,1,3,41.0,33.3,10.1,4.0,8.8,5.9,23.7,37.6,64.1,22.5,'22-23
239,John Butler Jr.,POR,20,213.36,190.0,Florida State,USA,Undrafted,Undrafted,Undrafted,7.0,0.3,0.3,0.1,10.8,3.8,4.5,6.8,25.0,6.3,'22-23
240,John Collins,ATL,25,205.74,226.0,Wake Forest,USA,2017,1,19,47.0,13.2,7.4,1.3,0.8,3.7,19.3,16.6,58.7,5.4,'22-23
241,John Konchar,MEM,26,195.58,210.0,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,46.0,6.0,4.9,1.5,8.4,3.6,15.6,10.5,55.0,7.9,'22-23
242,John Wall,LAC,32,190.5,210.0,Kentucky,USA,2010,1,1,34.0,11.4,2.7,5.2,-6.6,1.8,9.6,25.9,49.7,38.0,'22-23
243,Johnny Davis,WAS,20,193.04,195.0,Wisconsin,USA,2022,1,10,11.0,1.2,0.6,0.2,-23.1,1.5,12.5,13.5,37.5,6.7,'22-23
244,Jonas Valanciunas,NOP,30,210.82,265.0,None,Lithuania,2011,1,5,55.0,14.6,9.8,1.7,-2.7,11.4,28.0,23.6,61.0,10.4,'22-23
245,Jonathan Isaac,ORL,25,208.28,230.0,Florida State,USA,2017,1,6,7.0,5.6,3.7,0.6,-10.2,11.5,25.8,22.1,50.9,10.3,'22-23
246,Jonathan Kuminga,GSW,20,200.66,225.0,None,DRC,2021,1,7,43.0,8.4,3.1,1.8,-4.9,4.9,11.0,18.8,56.7,13.6,'22-23
247,Jordan Clarkson,UTA,30,195.58,194.0,Missouri,USA,2014,2,46,55.0,20.9,4.0,4.2,1.6,3.5,8.5,27.1,56.3,20.2,'22-23
248,Jordan Goodwin,WAS,24,190.5,200.0,St. Louis,USA,Undrafted,Undrafted,Undrafted,39.0,6.5,3.3,2.5,-3.7,4.7,12.5,15.4,54.4,20.1,'22-23
249,Jordan Hall,SAS,21,200.66,215.0,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,9.0,3.1,1.3,1.2,-13.1,3.3,12.9,19.7,43.8,22.0,'22-23
